iter	RMSE
0	0.1544051781
1	0.1532747633
2	0.1521666895
3	0.1511009204
4	0.1499970682
5	0.1488971152
6	0.1478292304
7	0.1467698691
8	0.1456740034
9	0.1446580702
10	0.1436356629
11	0.142606962
12	0.1416081151
13	0.1406281431
14	0.1396260285
15	0.1386433347
16	0.1376752687
17	0.1366975839
18	0.1357776637
19	0.134828554
20	0.1339008099
21	0.1329717236
22	0.1320749632
23	0.1311813543
24	0.1302907863
25	0.1294132873
26	0.1285183978
27	0.1276535845
28	0.126786624
29	0.1259534609
30	0.125093518
31	0.1242725514
32	0.1234652318
33	0.1226890608
34	0.1219034096
35	0.1211059194
36	0.120305115
37	0.1195698549
38	0.1188077212
39	0.118015667
40	0.1172351216
41	0.1164618476
42	0.1157567668
43	0.1150426295
44	0.1143111543
45	0.1135876333
46	0.1128521838
47	0.1121592208
48	0.1114899357
49	0.1108059644
50	0.1101382163
51	0.1094546144
52	0.1087770136
53	0.1081159528
54	0.1074856447
55	0.1068545331
56	0.106234401
57	0.1055804853
58	0.1049555234
59	0.1043386967
60	0.1037232766
61	0.1031037138
62	0.102498777
63	0.101923462
64	0.1013784403
65	0.1008087978
66	0.1002143869
67	0.09966208278
68	0.09909802754
69	0.09855050622
70	0.09802037627
71	0.09750849468
72	0.09698693215
73	0.0964366627
74	0.09592296559
75	0.09540526559
76	0.09490338866
77	0.09439725146
78	0.09391559001
79	0.0934319613
80	0.09295040504
81	0.0924897056
82	0.09200208155
83	0.09154940422
84	0.09108071259
85	0.09063768245
86	0.09019092578
87	0.08972964846
88	0.08927804941
89	0.08885668189
90	0.08843243601
91	0.08800860902
92	0.08758317192
93	0.08717356665
94	0.08677661105
95	0.08639807612
96	0.08599172394
97	0.08558351978
98	0.0851721116
99	0.0847800892
100	0.08437926287
101	0.08399266664
102	0.08362878658
103	0.08325184516
104	0.08286185391
105	0.08248212989
106	0.08215515233
107	0.08179622891
108	0.08143159937
109	0.08106562737
110	0.08072091656
111	0.08037317127
112	0.08005261344
113	0.07972551802
114	0.0793936566
115	0.07908971204
116	0.07877108939
117	0.07845267289
118	0.0781282494
119	0.07780898854
120	0.07749827865
121	0.07722274282
122	0.07693689368
123	0.07663771632
124	0.07634115196
125	0.07605621227
126	0.07578267804
127	0.07550497155
128	0.07522569994
129	0.07495257587
130	0.0746888492
131	0.07440128174
132	0.07412835626
133	0.07386368166
134	0.07359224193
135	0.07333990697
136	0.07309017648
137	0.07282542774
138	0.07256522632
139	0.07232342435
140	0.07207982536
141	0.07184798744
142	0.07160492787
143	0.07136727457
144	0.07114543932
145	0.07092338575
146	0.07070979601
147	0.07047784297
148	0.0702533633
149	0.07004885058
150	0.06983625179
151	0.06963220286
152	0.06941732791
153	0.06921784379
154	0.06901612475
155	0.06882023495
156	0.06861163127
157	0.06841224934
158	0.06823071602
159	0.06803169901
160	0.06783423289
161	0.06765683979
162	0.0674764868
163	0.06729658946
164	0.06712361447
165	0.06695442007
166	0.06678036192
167	0.0666097036
168	0.06643613589
169	0.06627397474
170	0.06612140051
171	0.06595799131
172	0.06580043728
173	0.06562131902
174	0.06546568906
175	0.06531941586
176	0.06516495965
177	0.06502308077
178	0.06485901318
179	0.06470217166
180	0.06454605543
181	0.06440915431
182	0.06426555391
183	0.06411144947
184	0.06398045445
185	0.0638412984
186	0.06369748372
187	0.06355620261
188	0.06341978359
189	0.06328946572
190	0.06315960017
191	0.06302397477
192	0.06289156505
193	0.06275693735
194	0.06263029131
195	0.06250294363
196	0.06238087819
197	0.06226152104
198	0.06214351221
199	0.06201658349
200	0.06189886315
201	0.06178363067
202	0.06166328107
203	0.06153898445
204	0.06142105694
205	0.06131006866
206	0.06121079897
207	0.06109815542
208	0.06098933522
209	0.06088727988
210	0.06079070661
211	0.06068702786
212	0.06058820711
213	0.06047787911
214	0.06038019164
215	0.06027774893
216	0.06017411719
217	0.06007674117
218	0.05999584823
219	0.05990241625
220	0.05980765244
221	0.05971599188
222	0.05962309078
223	0.05951835084
224	0.05941895856
225	0.05932352906
226	0.05923771345
227	0.05915597895
228	0.05907641756
229	0.05898442164
230	0.05890625947
231	0.05882281126
232	0.05873860215
233	0.05865705017
234	0.05858534629
235	0.05850197882
236	0.0584295609
237	0.05835965143
238	0.05828613411
239	0.0582049186
240	0.05812937175
241	0.05805704338
242	0.05798285534
243	0.05790467161
244	0.05783462665
245	0.05775956573
246	0.05769759387
247	0.05762426159
248	0.05755460757
249	0.05747362632
250	0.05740683534
251	0.05734572445
252	0.05728948008
253	0.05722368763
254	0.05716078468
255	0.05710222269
256	0.05704452116
257	0.05697212322
258	0.05691601455
